"Aylik_Yas","raw","norm","percentile"
75,"138 - 112",30.58,2.6
75,"111",31.81,3.4
75,"110",32.75,4.2
75,"109",33.56,5
75,"108",34.28,5.8
75,"107",34.94,6.6
75,"106",35.56,7.4
75,"105",36.15,8.3
75,"104",36.72,9.2
75,"103",37.26,10.1
75,"102",37.79,11.1
75,"101",38.3,12.1
75,"100",38.81,13.1
75,"99",39.3,14.2
75,"98",39.79,15.4
75,"97",40.26,16.5
75,"96",40.74,17.7
75,"95",41.21,19
75,"94",41.67,20.2
75,"93",42.13,21.6
75,"92",42.59,22.9
75,"91",43.05,24.4
75,"90",43.51,25.8
75,"89",43.97,27.3
75,"88",44.42,28.9
75,"87",44.88,30.4
75,"86",45.34,32.1
75,"85",45.8,33.7
75,"84",46.27,35.4
75,"83",46.73,37.2
75,"82",47.2,39
75,"81",47.68,40.8
75,"80",48.16,42.7
75,"79",48.64,44.6
75,"78",49.13,46.5
75,"77",49.63,48.5
75,"76",50.14,50.5
75,"75",50.65,52.6
75,"74",51.17,54.7
75,"73",51.7,56.8
75,"72",52.24,58.9
75,"71",52.8,61
75,"70",53.37,63.2
75,"69",53.95,65.3
75,"68",54.55,67.5
75,"67",55.16,69.7
75,"66",55.8,71.9
75,"65",56.45,74.1
75,"64",57.13,76.2
75,"63",57.84,78.3
75,"62",58.58,80.4
75,"61",59.34,82.5
75,"60",60.15,84.5
75,"59",60.99,86.4
75,"58",61.88,88.3
75,"57",62.81,90
75,"56",63.8,91.6
75,"55",64.83,93.1
75,"54",65.9,94.4
75,"53",67.01,95.6
75,"52",68.15,96.5
75,"51 - 47",69.28,97.3
76,"138 - 112",30.75,2.7
76,"111",31.61,3.3
76,"110",32.36,3.9
76,"109",33.06,4.5
76,"108",33.7,5.2
76,"107",34.31,5.8
76,"106",34.89,6.5
76,"105",35.45,7.3
76,"104",36,8.1
76,"103",36.52,8.9
76,"102",37.04,9.7
76,"101",37.54,10.6
76,"100",38.04,11.6
76,"99",38.53,12.6
76,"98",39.01,13.6
76,"97",39.49,14.7
76,"96",39.96,15.8
76,"95",40.43,16.9
76,"94",40.9,18.1
76,"93",41.37,19.4
76,"92",41.83,20.7
76,"91",42.29,22
76,"90",42.76,23.4
76,"89",43.22,24.9
76,"88",43.69,26.4
76,"87",44.15,27.9
76,"86",44.62,29.5
76,"85",45.1,31.2
76,"84",45.57,32.9
76,"83",46.05,34.6
76,"82",46.53,36.4
76,"81",47.02,38.3
76,"80",47.51,40.2
76,"79",48.01,42.1
76,"78",48.52,44.1
76,"77",49.03,46.1
76,"76",49.55,48.2
76,"75",50.09,50.3
76,"74",50.63,52.5
76,"73",51.18,54.7
76,"72",51.74,56.9
76,"71",52.32,59.2
76,"70",52.91,61.5
76,"69",53.52,63.8
76,"68",54.15,66.1
76,"67",54.79,68.4
76,"66",55.46,70.7
76,"65",56.15,73.1
76,"64",56.86,75.4
76,"63",57.61,77.7
76,"62",58.38,79.9
76,"61",59.19,82.1
76,"60",60.04,84.2
76,"59",60.92,86.3
76,"58",61.85,88.2
76,"57",62.82,90
76,"56",63.83,91.7
76,"55",64.88,93.2
76,"54",65.96,94.5
76,"53",67.06,95.6
