"Aylik_Yas","raw","norm","percentile"
80,"86",35.95,8
80,"85",36.52,8.9
80,"84",37.08,9.8
80,"83",37.65,10.8
80,"82",38.21,11.9
80,"81",38.77,13.1
80,"80",39.34,14.3
80,"79",39.91,15.6
80,"78",40.49,17.1
80,"77",41.07,18.6
80,"76",41.66,20.2
80,"75",42.26,21.9
80,"74",42.87,23.8
80,"73",43.5,25.8
80,"72",44.14,27.9
80,"71",44.8,30.1
80,"70",45.47,32.5
80,"69",46.17,35.1
80,"68",46.9,37.8
80,"67",47.65,40.7
80,"66",48.44,43.8
80,"65",49.26,47.1
80,"64",50.13,50.5
80,"63",51.04,54.1
80,"62",52.01,58
80,"61",53.03,61.9
80,"60",54.12,66
80,"59",55.27,70.1
80,"58",56.48,74.1
80,"57",57.72,78
80,"56",58.97,81.5
80,"55",60.19,84.6
80,"54",61.36,87.2
80,"53",62.44,89.3
80,"52",63.45,91.1
80,"51",64.37,92.5
80,"50",65.2,93.6
80,"49",65.97,94.5
80,"48",66.68,95.2
80,"47",67.33,95.8
80,"46",67.94,96.4
80,"45",68.5,96.8
80,"44",69.03,97.1
80,"43",69.53,97.5
80,"42 - 35",69.99,97.7
81,"100 - 96",30.05,2.3
81,"95",30.66,2.7
81,"94",31.24,3
81,"93",31.81,3.4
81,"92",32.37,3.9
81,"91",32.91,4.4
81,"90",33.45,4.9
81,"89",33.98,5.5
81,"88",34.51,6.1
81,"87",35.03,6.7
81,"86",35.56,7.4
81,"85",36.08,8.2
81,"84",36.6,9
81,"83",37.13,9.9
81,"82",37.66,10.9
81,"81",38.19,11.9
81,"80",38.73,13
81,"79",39.27,14.2
81,"78",39.82,15.4
81,"77",40.39,16.8
81,"76",40.96,18.3
81,"75",41.54,19.9
81,"74",42.14,21.6
81,"73",42.75,23.4
81,"72",43.39,25.4
81,"71",44.04,27.6
81,"70",44.72,29.9
81,"69",45.42,32.3
81,"68",46.15,35
81,"67",46.92,37.9
81,"66",47.73,41
81,"65",48.58,44.4
81,"64",49.49,48
81,"63",50.46,51.8
